id,distance,order,condition,time,rt
28,3,mixed,dots,1,811.523354
29,3,mixed,dots,1,925.7661505
30,3,mixed,dots,1,1234.322971
31,3,mixed,dots,1,1163.12048
32,3,mixed,dots,1,1267.627636
1,1,in,letters,1,1507.341535
2,1,in,letters,1,1802.161765
3,1,in,letters,1,1100.971149
4,1,in,letters,1,1150.253546
5,1,in,letters,1,1292.670669
6,1,in,letters,1,959.055988
7,1,in,letters,1,1834.948814
8,1,in,letters,1,1201.098738
9,1,in,letters,1,1125.878
10,1,in,letters,1,1526.374003
11,1,in,letters,1,1100.898949
12,1,in,letters,1,1476.173261
13,1,in,letters,1,1417.71988
14,1,in,letters,1,1509.517182
15,1,in,letters,1,1767.988457
16,1,in,letters,1,1267.686176
17,1,in,letters,1,1184.362364
18,1,in,letters,1,1768.807871
19,1,in,letters,1,1584.390913
20,1,in,letters,1,1164.878102
21,1,in,letters,1,1217.836657
22,1,in,letters,1,1267.661863
23,1,in,letters,1,1892.074336
24,1,in,letters,1,1338.253941
25,1,in,letters,1,1484.449568
26,1,in,letters,1,1359.234299
27,1,in,letters,1,1484.590688
28,1,in,letters,1,996.55295
29,1,in,letters,1,1534.51881
30,1,in,letters,1,1751.400234
31,1,in,letters,1,1580.363122
32,1,in,letters,1,1584.539718
1,1,mixed,letters,1,1582.376797
2,1,mixed,letters,1,1824.526454
3,1,mixed,letters,1,1701.288608
4,1,mixed,letters,1,1909.599297
5,1,mixed,letters,1,1584.827199
6,1,mixed,letters,1,1401.169015
7,1,mixed,letters,1,2001.635787
8,1,mixed,letters,1,1601.160515
9,1,mixed,letters,1,1167.601
10,1,mixed,letters,1,1876.347474
11,1,mixed,letters,1,1367.723579
12,1,mixed,letters,1,1309.376155
13,1,mixed,letters,1,1384.440479
14,1,mixed,letters,1,1634.515982
15,1,mixed,letters,1,1859.759033
16,1,mixed,letters,1,1501.192669
17,1,mixed,letters,1,1459.439287
18,1,mixed,letters,1,1836.912077
19,1,mixed,letters,1,2285.178609
